date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250304,04/03 17:43,4668830,TrumpReturns,893837,Axe Dor Aug Ori Neb Aur,4555939,Kilkenny,933308,Krv Yas Dan The Mar Oli,20,Axe(11064) Alb(11064) Bis(11064)  ###  Cai(11064),Oli(11064) Alb(11064) Fen(9292) Mer(6676) Axe(5766),183303,37509
20250304,04/03 17:32,4868542,stratis,1090725,Axe Ori Seb Neb Isa Aur,4585981,Garfield,936249,Ast Gal Ara Gin Pho Oli,20,Axe(11064) Alb(11064)  ###  Oli(11064) Cai(11064),Oli(8518)  ###   ###  Fen(6779)  ###,183303,37509
20250304,04/03 14:57,4425955,Tobi,1032402,Bis Dor Hei Neb Jhu Dan,10993884,Xiombad,1169355,Ast Yas Seb Gin Mar Axe,20,Axe(11064) Alb(11064)  ###  Vex(10154) Cai(10154),Bis(9018) Alb(11064) Oli(11064) Fen(9020) Axe(11064),183303,37509
20250304,04/03 17:20,23402789,Ragto,1131642,Kho Dor Aug Ori Neb Dan,16036126,Nani,1110066,Krv K'A Yas Dan Mar Axe,20,Mer(10252) Axe(11064) Bis(11064)  ###  Cai(10854),Oli(10154) Fen(6756) Alb(11064) Cai(5025) Axe(11064),183303,37509
20250304,04/03 16:10,4425955,Tobi,1032402,Bis Dor Hei Neb Jhu Dan,20923405,Seelenjaeger,1159478,Ast Yas Jhu Neb Mar Oli,20,Axe(11064) Alb(11064)  ###  Vex(10154) Cai(10154),Bis(9428) Fen(11064) Alb(11064) Cai(9428) Oli(11064),183303,37509
20250304,04/03 14:55,4454896,Team D,1133295,Axe Hel Aug Ori Neb Dan,20930588,Gandolf,984909,Aur Jul And Yas Mar Oli,20,Mer(9018) Kho(11064) Axe(11064)  ###  Cai(11064),Mer(4594) Bis(4864) Fen(4756) Cai(6244) Oli(11064),183303,37509
20250304,04/03 17:41,4668830,TrumpReturns,1126244,Axe Fac Jor Kai K'A Aur,20946340,'0935,1062266,Ruf Dan Seb Hei Mar Cai,20,Mar(9018) Axe(11064) Bis(11064) Vex(11064) Cai(11064),Oli(6676) Cai(11064) Alb(11064) Bis(9531) Axe(9018),183303,37509
20250304,04/03 17:36,4454896,Team D,1117111,Axe Jet Aug Ori Neb Dan,45392471,0932,1036653,Ruf Dan Seb Iri Mar Cai,20,Oli(11064) Kho(11064) Axe(11064)  ###  Cai(11064),Oli(6676) Cai(11064) Alb(11064) Bis(8124) Axe(9018),183303,37509
20250304,04/03 15:24,4598759,Rompehuesos,1138892,Bis Hel Mor Dan Yas Mrk,47186021,Blue,1156516,Ast Yas Isa Jhu Mar Axe,20,Bis(11064) Axe(11064) Fen(11064) Cai(11064) Oli(11064),Oli(11064) Cai(11064) Mar(11064) Alb(11064) Axe(11064),183303,37509
20250304,04/03 15:46,4208957,patlacoche,1193207,Axe Seb Kai Dan K'A Krv,55672903,JAM,1105284,Yas Ara Mor Jhu Mar Alb,20,Alb(11064) Mer(11064) Cai(11064) Mar(11064) Oli(11064),Alb(11064) Mar(6676) Axe(11064) Vex(10154) Oli(6676),183303,37509
20250304,04/03 14:11,4712527,HRCAK,1124913,Alb Mar Dan Ara Yas Aur,4680915,Team WEGO,1065839,Krv Gal Yas Mor The Axe,18,Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064),Alb(10154) Oli(7604) Fen(3620) Axe(11064) Mar(3144),183303,37509
20250303,03/03 14:49,4712527,HRCAK,1184149,Alb Mar Seb Cel Yas Aur,4290509,Mr. 7,1077596,Yas Cel Isa Seb Jet Axe,20,Oli(11064) Alb(11064) Axe(11064) Fen(11064) Cai(11064),Cai(11064) Mer(11064) Mar(6063) Oli(11064) Axe(11064),183303,187932
20250303,03/03 15:24,4868542,stratis,1060786,Axe Aug Ori Neb Mor Aur,4298947,Nitzky,1076806,Ruf Ami Neb Hei Mar Kho,20,Alb(11064) Axe(11064)  ###  Oli(11064) Cai(11064),Oli(11064) Bis(6327) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 15:13,4868542,stratis,1113256,Kho Dor Aug Ori Neb Aur,4302911,Team bbbPKo,1107832,Dan Seb Ori Iri Dor Axe,20,Axe(11064) Alb(11064) Mer(11064)  ###  Cai(11064),Cai(11064) Oli(11064) Kho(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 20:10,23402789,Ragto,1150205,Axe Dor Iri Hei Mor Krv,4751615,Thunder,1075618,Ruf Dan Ami Seb The Axe,20,Mer(10252) Bis(11064) Axe(11064) Oli(11064) Alb(11064),Oli(9018) Cai(11064) Axe(10685) Fen(9018) Mer(9018),183303,187932
20250303,03/03 16:06,4668830,TrumpReturns,1134026,Axe Fac Seb Isa K'A Aur,6749986,Maverick,1160154,Ara Dan Ami Neb Pol Axe,20,Axe(11064) Alb(11064) Oli(9018) Vex(11064) Cai(11064),Axe(11064) Fen(11064) Bis(11064) Cai(11064) Mar(11064),183303,187932
20250303,03/03 16:33,4454896,Team D,1082991,Axe Dor Hei Neb Cel Ruf,6750037,fei dao,1095685,Dan Isa Hei Iri Mar Axe,20,Mer(9018) Cai(11064)  ###  Axe(11064) Bis(9428),Cai(11064) Mar(5947) Alb(11064) Bis(11064) Axe(11064),183303,187932
